HID,Hotel,Price,Number of Reviews,Desirable
HID193,Jaipur Sundeck Hostel Jaipur,244,7,-0.647194037
HID194,Hotel Abhineet Palace Jaipur,749.1,40,-0.571879887
HID195,Hotel Krishna Jaipur,3970.23,22,-0.717748331
HID196,OYO 1143 Hotel RDB Palace Jaipur,1123.65,130,-0.381995001
HID197,Abhi Rooms Jaipur,749.1,8,-0.702086667
HID198,Hotel Mayaa Mansion Jaipur,950,150,-0.253365837
HID199,Hotel Hawa Mahal Jaipur,1872.75,105,-0.563741964
HID200,La Premier Spa & Resort Jaipur,1198.56,65,-0.569336786
HID201,Hotel Nangi's Pride Jaipur,1648.02,52,-0.6384629
HID202,The T T Palace Jaipur,1722.93,36,-0.670950263
HID203,Jaipur CM A Luxury Boutique Hotel Jaipur,749.1,246,0.266326254
HID204,Hotel Paradise Jaipur,1198.56,345,0.142731538
HID205,Chitchat Restaurant & Guest House Jaipur,224.73,72,0.241912483
HID206,Hotel Sumaditya Jaipur,1423.29,16,-0.70037342
HID207,Umaid Farm Resort-A Legacy Vintage Stay in Jaipur,112365,3000,-0.653259124
HID208,The Amer Valley Jaipur,749.1,50,-0.531190269
HID209,Hotel Whispering Palms Jaipur,1198.56,64,-0.571879887
HID210,Hotel The Orion Jaipur,599.28,63,-0.414207616
HID211,Ashok Jaipur,3221.13,70,-0.668399448
HID212,FabHotel Villa Jaipur Vaishali Jaipur,898.92,15,-0.683776338
HID213,Kesar D Villa Jaipur,1722.93,17,-0.704563426
HID214,Hotel Jaisingh Palace Jaipur,1123.65,98,-0.46879952
HID215,OYO 2105 Hotel Royal Sheraton Jaipur,1273.47,101,-0.492894157
HID216,Hotel Surya Garh Jaipur,3069,100,-0.63532069
HID217,Jagrati Ananta Express Jaipur,1722.93,150,-0.469271284
HID218,Padlia House Jaipur,2172.39,14,-0.714995097
HID219,Blue King (RTDC) Jaipur,1123.65,18,-0.685810819
HID220,FabHotel Padmavati Palace Jaipur,2097.48,1,-0.733185161
HID221,Nilaya Jaipur,3000,320,-0.409512034
HID222,Vidya Villa Jaipur,2846.58,26,-0.706798096
HID223,Hotel Bikaner Haveli Jaipur,2022.57,100,-0.583936071
HID224,OYO 15359 Hotel Kanchandeep Jaipur,898.92,103,-0.385385803
HID225,Jaipur Home Stay Jaipur,1048.74,23,-0.667791131
HID226,Raj Rajeshwari Haveli Jaipur,4045.14,300,-0.508584925
HID227,Hotel Konark Jaipur,1273.47,119,-0.449811032
HID228,Branson Backpacker Homestay Jaipur,1198.56,50,-0.607483304
HID229,OYO Townhouse 051 Lal Kothi Jaipur,1498.2,170,-0.388776604
HID230,The Saneer Boutique Hotel Jaipur,1872.75,216,-0.383080057
HID231,Hotel Libra Jaipur,1498.2,184,-0.360293871
HID232,Hotel Ganga Kripa Jaipur,599.28,27,-0.597310899
HID233,Airport Sky Inn Jaipur,674.19,10,-0.689427674
HID234,Kherwadi Farm Jaipur,4120.05,10,-0.727240249
HID235,Hotel Neelam Jaipur,1872.75,10,-0.718362514
HID236,OYO 9304 Hotel Swastika Jaipur,1048.74,10,-0.705574348
HID237,Club Mahindra Jaipur,4569.51,1145,0.02912579
HID238,Jas Vilas Jaipur,5018.97,987,-0.135225623
HID239,Angel Resort Jaipur,1498.2,102,-0.527121307
HID240,Om Niwas Jaipur,2696.76,291,-0.405730612
HID241,Bunkstop Jaipur,824.01,174,-0.091002578
HID242,Hotel Ramsingh Palace Jaipur,824.01,161,-0.139090309
HID243,Rawla Rawatstar Jaipur,898.92,134,-0.280270955
HID244,Adhbhut Hotel Jaipur,4344.78,110,-0.657468395
HID245,FabHotel Deepak Residency Jaipur,1722.93,20,-0.699256085
HID246,Pride Amber Vilas Resort & Spa Jaipur,4944.06,294,-0.553384606
HID247,Hotel Savoy Jaipur,1423.29,203,-0.299901911
HID248,Hotel Jai Maa Palace Jaipur,1498.2,274,-0.177190588
HID249,The Prime Hotel Jaipur,1423.29,77,-0.569738329
HID250,Comfort Inn Sapphire Jaipur,2771.67,130,-0.591674837
HID251,Housetel Jaipur,674.19,44,-0.535711338
HID252,Girisadan Homestay Jaipur,4494.6,238,-0.573236208
HID253,The Hosteller Jaipur,449,143,0.236124408
HID254,Hoztel Jaipur,150,128,1.866372261
