PID,POI1,POI2,POI3,POI4,POI5,POI6,POI7,POI8,POI9,POI10,POI11,POI12,POI13,POI14,POI15,POI16,POI17,POI18,POI19,POI20,POI21,POI22,POI23,POI24,POI25,POI26,POI27,POI28,POI29,POI30,POI31,POI32,POI33,POI34,POI35,POI36,POI37,POI38,POI39,POI40,POI41,POI42,POI43,POI44,POI45,POI46,POI47,POI48,POI49,POI50,POI51,POI52,POI53,POI54,POI55,POI56,POI57,POI58,POI59,POI60,POI61,POI62,POI63,POI64,POI65,POI66,POI67,POI68,POI69,POI70,POI71,POI72,POI73
POI42,5776,4350,4277,4337,5205,11843,7259,3291,4271,8624,8082,6141,7034,2862,7097,10983,11799,6162,4942,4895,3259,7400,1293,12167,9595,4891,101724,12821,7440,13590,4406,12509,5242,6233,3658,30115,9761,7123,4589,4890,11734,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI43,17269,10068,10141,9396,7688,23336,6020,14784,8502,10913,10371,8220,18527,10117,5863,3827,14088,8187,7807,7854,14753,7165,12320,24165,3782,8808,98547,11353,18933,1610,8637,3108,8001,9364,9015,14522,21760,18616,9276,8545,850,12626,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI44,28699,20543,20616,20826,22260,34766,24726,26214,21326,26142,25600,21932,29957,21553,24568,30501,29317,21606,21997,21950,26183,23108,23750,35091,25946,20618,110797,23940,30363,33015,21461,33292,22297,20017,20361,54290,32714,30046,21253,21945,32516,21483,31967,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI45,11874,3719,3792,4001,2384,17941,3181,9389,2311,7347,6805,144,13132,4722,3019,6212,10522,488,2504,2551,9358,1559,6925,18266,5485,1635,97252,8349,13538,9048,2446,7967,2697,1665,2667,20819,15860,13221,4428,2929,7192,6277,8045,22105,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI46,8604,5153,5080,6139,8533,14670,9478,6119,7881,7060,6518,10834,9862,4743,9169,14832,10235,10933,8490,8443,6087,11324,3654,13031,11432,8501,105334,16431,10268,15429,8016,13796,8569,10429,7268,28551,10626,9951,6161,7999,13572,4674,14425,27644,10924,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI47,13651,5496,5569,5778,5022,19718,4640,11166,4088,8904,8362,4229,14909,6499,4478,5761,12079,3831,4759,4712,11135,3018,8702,20043,6060,3380,94093,5190,15315,10278,4223,9426,5059,2753,4444,21333,17637,14998,6205,4707,8651,8054,9084,21675,3799,11760,0,,,,,,,,,,,,,,,,,,,,,,,,,,
POI48,7568,1504,1577,1956,3038,13635,5092,5083,2104,6926,6384,3974,8826,1463,4930,8816,10101,3995,2775,2728,5051,5233,2881,13959,7428,2724,99557,10654,9232,11423,2239,10342,3075,4066,1491,26297,11553,8915,2383,2723,9567,2165,10420,19889,4064,5625,7247,0,,,,,,,,,,,,,,,,,,,,,,,,,
POI49,15001,6846,6919,7128,6372,21068,5991,12516,5438,10254,9712,5580,16259,7849,5829,7112,13429,5182,6109,6062,12485,4369,10052,21393,7411,4730,94177,5274,16665,11629,5573,10777,6409,4103,5794,22685,18987,16348,7555,6057,10002,9404,10435,21759,5150,13110,1458,7236,0,,,,,,,,,,,,,,,,,,,,,,,,
POI50,11308,3153,3226,3435,2679,17375,4277,8823,1745,6561,6019,1480,12566,4156,4115,6094,9736,1054,2416,2369,8792,2655,6359,17700,6392,1037,96333,7430,12972,10610,1880,9063,2716,286,2101,21665,15294,12655,3862,2364,8288,5711,9416,21004,1795,9417,4023,3543,3887,0,,,,,,,,,,,,,,,,,,,,,,,
POI51,28092,29960,29887,29947,33617,37499,34562,28948,31689,32144,31602,35918,27267,29550,34253,39916,35319,33580,31412,31365,28916,36408,26525,24539,36516,32309,129142,40239,27673,40513,31824,38880,33653,33351,31076,54222,22752,27356,30199,31019,38656,27503,39509,49017,36008,27352,36832,29296,36696,33277,0,,,,,,,,,,,,,,,,,,,,,,
POI52,10073,1918,1991,2200,1547,16140,3601,7588,613,5429,4887,2483,11331,2921,3439,7325,8604,2504,1284,1237,7557,3742,5124,16465,5937,1233,98066,9163,11737,9932,748,8851,1584,2575,0,24807,14059,11420,2627,1232,8076,4476,8929,21983,2573,8182,5756,2308,5620,2501,31775,0,,,,,,,,,,,,,,,,,,,,,
POI53,9942,1786,1859,2069,3151,16009,5205,7457,2217,7039,6497,3685,11200,2790,5043,7418,10214,3377,2888,2841,7426,4861,4993,16334,7716,2371,97557,8654,11606,11934,2352,10455,3188,1787,1604,22990,13928,11289,2496,2836,9680,4344,10533,19361,4177,8051,5247,2177,5111,2073,31644,1604,0,,,,,,,,,,,,,,,,,,,,
POI54,13866,15733,15660,15720,16863,23272,17808,14721,17462,11945,12487,19164,15779,15323,17499,23162,13225,19263,16820,16773,14689,19654,12298,13686,20503,17656,114489,25586,13447,24498,17597,22067,16899,18759,16849,38739,11280,13130,15972,16792,22642,13276,23495,34790,19254,13125,23248,15069,22043,18685,21503,16849,17864,0,,,,,,,,,,,,,,,,,,,
POI55,14673,6518,6591,6800,5445,20740,4096,12188,5110,9270,8728,3320,15931,7521,3934,3262,12445,3287,5565,5612,12157,1824,9724,21065,3917,4434,95928,7025,16337,8135,5245,7106,5758,3817,5466,19190,18659,16020,7227,5728,6330,9076,6941,22707,3255,12941,4076,6908,4231,4173,36375,5466,5355,21213,0,,,,,,,,,,,,,,,,,,
POI56,28807,30675,30602,30662,34332,38214,35277,29663,32404,32859,32317,36633,27982,30265,34968,40631,36034,34295,32127,32080,29631,37123,27240,25254,37232,33024,129857,40954,28388,41228,32539,39595,34368,34066,31791,54937,23467,28071,30914,31734,39371,28218,40224,49732,36723,28067,37547,30011,37411,33992,855,31791,32806,22206,39090,0,,,,,,,,,,,,,,,,,
POI57,10466,2310,2383,2593,3675,16533,5729,7981,2741,7563,7021,4209,11724,3314,5567,7942,10738,3901,3412,3365,7950,5385,5517,16858,8240,2895,98081,9178,12130,12458,2876,10979,3712,2311,2128,23513,14452,11813,3020,3360,10204,4868,11057,19065,4282,8575,5057,2701,4744,2597,32168,2128,524,17945,5385,32883,0,,,,,,,,,,,,,,,,
POI58,7313,14328,14255,14315,15999,16652,18930,11404,16057,16512,15970,20286,6487,13918,18621,24284,19687,17948,15780,15733,9030,20776,10893,1187,20885,16677,113510,24607,6893,24881,16192,23248,18021,17719,15444,38003,3855,6576,14567,15387,23024,11871,23877,33385,20376,11720,21200,13664,21064,17645,24054,15444,16459,15980,22743,24769,15950,0,,,,,,,,,,,,,,,
POI59,18473,8447,8520,7775,6067,21715,4399,15988,6881,9576,9034,6599,16906,8496,4242,3619,12751,6566,6186,6233,15956,5544,13565,22828,2161,7187,98336,11142,17312,4465,7016,3384,6380,7743,7394,17377,20423,16995,7655,6924,2608,11005,3461,32301,6534,13114,8981,8837,9136,7452,38138,7394,9479,23915,5510,38853,10656,22429,0,,,,,,,,,,,,,,
POI60,16216,8728,8655,7926,7714,22282,8659,13731,7767,2797,3339,10015,19926,8647,8350,14013,728,10114,7671,7624,13699,10505,11308,20571,11354,8507,105340,16437,20332,15349,7902,12919,7750,9610,9055,25376,18166,20015,7364,7180,13493,12286,14346,29745,10105,10857,14099,9756,12894,9536,35881,9055,10070,12844,12472,36596,11085,20172,12075,0,,,,,,,,,,,,,
POI61,40167,32211,32284,31539,29831,46233,28163,37682,30645,28782,28989,30375,43877,32260,28006,25508,31957,30342,29950,29997,37650,29320,35259,44522,27015,31489,115617,32973,44283,23277,30780,24325,30144,31519,31158,12395,42117,43966,31419,30688,23957,36237,23454,53602,30310,34808,31968,32601,32123,31228,60528,31158,33738,43414,28497,61243,33643,44123,27572,31579,0,,,,,,,,,,,,
POI62,8945,789,862,1072,2026,15012,4080,6460,1092,6042,5500,2962,10203,1793,3918,7804,9217,2983,1763,1716,6429,4221,3996,15337,6416,1712,98545,9642,10609,10411,1227,9330,2063,3054,479,25285,12931,10292,1499,1711,8555,3347,9408,20855,3052,7054,6235,1180,6099,2980,30647,479,1494,16424,6189,31362,2509,14938,7137,8839,31456,0,,,,,,,,,,,
POI63,11288,4159,4144,3415,1778,17355,985,8803,2593,5467,4925,2174,12546,4136,822,5979,8642,2273,1898,1945,8772,2664,6339,18852,3320,2899,98110,9207,12952,7315,2728,6234,2091,3502,3106,22190,16447,12635,3295,2669,5459,6717,6312,23890,2264,9138,6258,4549,6413,3159,34162,3106,4863,17410,4631,34877,6940,18453,4041,8264,28360,3521,0,,,,,,,,,,
POI64,12974,4818,4891,5101,5506,19041,7976,10489,4572,9388,8846,5178,14232,5822,7814,7768,12563,4852,5243,5196,10458,6354,8025,19366,8281,3864,97618,9091,14638,12499,4707,11470,5543,3263,4636,23554,16960,14321,5528,5191,10694,7376,11305,18548,5251,11083,4112,5209,3799,3549,34676,4636,3032,20453,5183,35391,2576,18967,9276,12185,33025,4446,6656,0,,,,,,,,,
POI65,17393,9238,9311,9520,8764,23460,10298,14908,7830,12646,12104,7501,18651,10241,10136,8279,15821,7075,8501,8454,14877,6661,12444,23785,9112,7122,90275,2117,19057,11375,7965,11070,8801,6495,8186,22021,21379,18740,9947,8449,10294,11796,9745,24219,6851,14088,3854,9628,4084,6781,39095,8186,7482,24872,5505,39810,8135,23386,10107,15443,31491,8865,9914,7711,0,,,,,,,,
POI66,12197,4041,4114,4324,4729,18264,7199,9712,3795,8611,8069,4401,13455,5045,7037,8117,11786,4075,4466,4419,9681,5577,7248,18589,8415,3087,98255,9352,13861,12633,3930,11985,4766,2486,3859,23688,16183,13544,4751,4414,11210,6599,11439,19080,4474,10306,3606,4432,3293,2772,33899,3859,2255,19676,5560,34614,1799,18190,9792,11408,34111,3669,5879,1573,8299,0,,,,,,,
POI67,11939,3784,3857,4066,2294,18006,3246,9454,2376,7257,6715,0,13197,4787,3084,6277,10432,553,2414,2461,9423,1624,6990,18331,5550,1700,97317,8414,13603,9113,2511,8032,2607,1730,2732,20883,15925,13286,4493,2994,7257,6342,8110,22170,144,10048,5219,4174,5374,1439,33641,2732,3466,19418,3592,34356,5389,17932,5839,10054,30158,3879,2714,4176,7361,3694,0,,,,,,
POI68,4057,4443,4370,4430,6687,10124,7956,1572,6172,8698,8156,8125,5315,4033,7647,13347,11873,8063,5895,5848,1541,9301,1367,10394,11159,6792,103625,14722,5721,17067,6307,15434,6194,7834,5559,30189,7988,5404,4682,5502,12827,1855,16063,23368,8132,3907,11315,3647,11179,7760,27551,5559,6574,13328,11269,28266,5933,9995,11880,11495,36360,5079,7314,8529,13669,9053,8125,0,,,,,
POI69,26540,35506,35579,35789,37224,35879,39694,30631,36290,41106,40564,36896,25714,36510,39532,45469,44281,36570,36961,36914,28257,38072,30120,22516,40910,35582,125765,38908,26120,47983,36425,48260,37261,34981,35324,69258,23082,25803,36216,36909,47484,36434,46935,22446,36969,30947,42169,35897,42399,35267,51482,35324,33720,32570,38055,52197,33264,22117,47789,43903,80222,35134,38374,32951,38503,34351,36896,31177,0,,,,
POI70,16525,8370,8443,8652,7896,22592,7991,14040,6962,11778,11236,10110,17783,9373,7834,8676,14953,6011,7633,7586,14009,5789,11576,22917,8240,6254,92556,4911,18189,11772,7097,11467,7933,5627,7318,22418,20511,17872,9079,7581,10691,10928,10142,26585,5979,13220,2982,8760,2236,5913,38227,7318,6614,24004,4633,38942,7268,22518,9235,14575,31888,7997,8649,6598,3243,5573,10110,12674,41155,0,,,
POI71,10064,1909,1982,2191,1435,16131,3489,7579,501,5317,4775,1734,11322,2912,3327,7563,8492,1672,1172,1125,7548,2910,5115,16456,6836,358,97234,8331,11728,9820,636,8739,1472,1371,857,24694,14050,11411,2618,1120,7964,4467,8817,21639,1889,8173,4924,2299,4788,1297,31766,857,2502,17543,4878,32481,4358,16057,6546,8114,30865,2005,2585,3934,7278,2662,1799,6213,36206,8329,0,,
POI72,26180,33195,33122,33182,36852,35519,37797,30271,34924,35379,34837,39153,25354,32785,37488,43151,38554,39252,35769,35722,27897,39643,29760,22156,39751,37164,133756,44853,25760,43748,35059,42115,38010,37708,34311,56870,22722,25443,33434,34254,41891,30738,42744,61632,39243,30587,43237,32531,41310,37634,9250,34311,35326,25091,41610,9593,34817,21757,40473,38176,63041,33831,37353,38355,43800,37698,39153,30817,34703,44089,37294,0,
POI73,4590,4082,4009,4069,5783,10657,7595,2105,5811,8338,7796,7681,5848,3672,7286,12986,11513,7702,5534,5487,2073,8940,1007,11881,10798,6431,103264,14361,6254,16707,5946,15074,5833,7473,5198,29829,9475,5937,4321,5141,12937,1625,15703,23139,7771,3547,10954,3418,10818,7399,27191,5198,6213,12968,10908,27906,5704,11482,11519,11135,36000,4718,6953,9242,13308,8692,7681,739,43687,13597,6030,30197,0
